Country,year,file type,language,age,all age,sex,Proportion of people with zero risk factors (%),Proportion of people with 1-2 risk factors (%),Proportion of people with 3+ risk factors (%),Check sum (country report),Proportion of people with high CVD risk (>30%),Proportion of people with at least 1 risk factor,Proportion of people with two or more risk factors,Proportion of people with 1 risk factor,Proportion of people with 2 risk factors,Proportion of people with 3 risk factors,link,data entry,notes
Central African Republic,2010,fact sheet,French,25-64,1,female,12.8,NA,18.1,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2010_FactSheet_RCA_FR.pdf?ua=1,Wendy Wang,
Central African Republic,2010,fact sheet,French,25-44,0,both,NA,NA,12.3,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2010_FactSheet_RCA_FR.pdf?ua=1,Wendy Wang,
Central African Republic,2010,fact sheet,French,25-44,0,male,NA,NA,13.1,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2010_FactSheet_RCA_FR.pdf?ua=1,Wendy Wang,
Central African Republic,2010,fact sheet,French,25-44,0,female,NA,NA,11.3,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2010_FactSheet_RCA_FR.pdf?ua=1,Wendy Wang,
Central African Republic,2010,fact sheet,French,45-64,0,both,NA,NA,29.4,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2010_FactSheet_RCA_FR.pdf?ua=1,Wendy Wang,
Central African Republic,2010,fact sheet,French,45-64,0,male,NA,NA,28.2,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2010_FactSheet_RCA_FR.pdf?ua=1,Wendy Wang,
Central African Republic,2010,fact sheet,French,45-64,0,female,NA,NA,30.4,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2010_FactSheet_RCA_FR.pdf?ua=1,Wendy Wang,
Chad,2008,country report,French,25-64,1,male,0.5,NA,25,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2008_STEPS_Report_Chad.pdf?ua=1,Wendy Wang,
Chad,2008,country report,French,25-64,1,female,NA,NA,31.7,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2008_STEPS_Report_Chad.pdf?ua=1,Wendy Wang,
Chad,2008,country report,French,25-64,1,both,0.3,NA,27.8,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2008_STEPS_Report_Chad.pdf?ua=1,Wendy Wang,
Chad,2008,country report,French,25-44,0,male,NA,NA,22.7,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2008_STEPS_Report_Chad.pdf?ua=1,Wendy Wang,
Chad,2008,country report,French,25-44,0,female,NA,NA,22.9,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2008_STEPS_Report_Chad.pdf?ua=1,Wendy Wang,
Chad,2008,country report,French,25-44,0,both,NA,NA,22.8,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2008_STEPS_Report_Chad.pdf?ua=1,Wendy Wang,
Chad,2008,country report,French,45-64,0,male,NA,NA,29.2,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2008_STEPS_Report_Chad.pdf?ua=1,Wendy Wang,
Chad,2008,country report,French,45-64,0,female,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2008_STEPS_Report_Chad.pdf?ua=1,Wendy Wang,
Chad,2008,country report,French,45-64,0,both,NA,NA,37.3,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2008_STEPS_Report_Chad.pdf?ua=1,Wendy Wang,
Comoros,2011,fact sheet,French,25-64,1,both,5.9,NA,23,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2011_FactSheet_Comoros_FR.pdf?ua=1,Wendy Wang,
Comoros,2011,fact sheet,French,25-64,1,male,8.1,NA,17.3,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2011_FactSheet_Comoros_FR.pdf?ua=1,Wendy Wang,
Comoros,2011,fact sheet,French,25-64,1,female,3.4,NA,29.3,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2011_FactSheet_Comoros_FR.pdf?ua=1,Wendy Wang,
Comoros,2011,fact sheet,French,25-44,0,both,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2011_FactSheet_Comoros_FR.pdf?ua=1,Wendy Wang,
Comoros,2011,fact sheet,French,25-44,0,male,NA,NA,13.3,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2011_FactSheet_Comoros_FR.pdf?ua=1,Wendy Wang,
Comoros,2011,fact sheet,French,25-44,0,female,NA,NA,24.3,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2011_FactSheet_Comoros_FR.pdf?ua=1,Wendy Wang,
Comoros,2011,fact sheet,French,45-64,0,both,NA,NA,32.3,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2011_FactSheet_Comoros_FR.pdf?ua=1,Wendy Wang,
Comoros,2011,fact sheet,French,45-64,0,male,NA,NA,25.7,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2011_FactSheet_Comoros_FR.pdf?ua=1,Wendy Wang,
Comoros,2011,fact sheet,French,45-64,0,female,NA,NA,39.4,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2011_FactSheet_Comoros_FR.pdf?ua=1,Wendy Wang,
Côte d'Ivoire,2005,country report,French,15-64,1,both,27.2,NA,72.8,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/Cotedivoire_2005.pdf?ua=1,Wendy Wang,0 risk + 3 risk = 100%. There's no data about 1-2 risk factors?
Côte d'Ivoire,2005,country report,French,15-64,1,male,22.8,NA,77.2,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/Cotedivoire_2005.pdf?ua=1,Wendy Wang,
Côte d'Ivoire,2005,country report,French,15-64,1,female,30.3,NA,69.7,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/Cotedivoire_2005.pdf?ua=1,Wendy Wang,
Côte d'Ivoire,2005,country report,French,15-44,0,both,NA,NA,68.6,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/Cotedivoire_2005.pdf?ua=1,Wendy Wang,
Côte d'Ivoire,2005,country report,French,15-44,0,male,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/Cotedivoire_2005.pdf?ua=1,Wendy Wang,
Côte d'Ivoire,2005,country report,French,15-44,0,female,NA,NA,65.7,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/Cotedivoire_2005.pdf?ua=1,Wendy Wang,
Côte d'Ivoire,2005,country report,French,45-64,0,both,NA,NA,87.3,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/Cotedivoire_2005.pdf?ua=1,Wendy Wang,
Côte d'Ivoire,2005,country report,French,45-64,0,male,NA,NA,89.2,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/Cotedivoire_2005.pdf?ua=1,Wendy Wang,
Côte d'Ivoire,2005,country report,French,45-64,0,female,NA,NA,85.5,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/Cotedivoire_2005.pdf?ua=1,Wendy Wang,
Côte d'Ivoire,2005,fact sheet,French,25-64,1,both,4.9,NA,30.1,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2005_Cote_d_Ivoire_FactSheet_FR.pdf?ua=1,Wendy Wang,
Côte d'Ivoire,2005,fact sheet,French,25-64,1,male,5.3,NA,30.2,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2005_Cote_d_Ivoire_FactSheet_FR.pdf?ua=1,Wendy Wang,
Côte d'Ivoire,2005,fact sheet,French,25-64,1,female,4.6,NA,30,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2005_Cote_d_Ivoire_FactSheet_FR.pdf?ua=1,Wendy Wang,
Côte d'Ivoire,2005,fact sheet,French,25-44,0,both,NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2005_Cote_d_Ivoire_FactSheet_FR.pdf?ua=1,Wendy Wang,
Côte d'Ivoire,2005,fact sheet,French,25-44,0,male,NA,NA,23.4,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2005_Cote_d_Ivoire_FactSheet_FR.pdf?ua=1,Wendy Wang,
Côte d'Ivoire,2005,fact sheet,French,25-44,0,female,NA,NA,25.4,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2005_Cote_d_Ivoire_FactSheet_FR.pdf?ua=1,Wendy Wang,
Côte d'Ivoire,2005,fact sheet,French,45-64,0,both,NA,NA,44.3,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2005_Cote_d_Ivoire_FactSheet_FR.pdf?ua=1,Wendy Wang,
Côte d'Ivoire,2005,fact sheet,French,45-64,0,male,NA,NA,45.7,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2005_Cote_d_Ivoire_FactSheet_FR.pdf?ua=1,Wendy Wang,
Côte d'Ivoire,2005,fact sheet,French,45-64,0,female,NA,NA,42.9,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2005_Cote_d_Ivoire_FactSheet_FR.pdf?ua=1,Wendy Wang,
Democratic Republic of the Congo,2005,fact sheet,English,25-44,0,both,5.3,NA,19.9,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2005_DRC_FactSheet_EN.pdf?ua=1,Wendy Wang,
Democratic Republic of the Congo,2005,fact sheet,English,25-44,0,male,6.7,NA,16.4,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2005_DRC_FactSheet_EN.pdf?ua=1,Wendy Wang,
Democratic Republic of the Congo,2005,fact sheet,English,25-44,0,female,4.5,NA,21.9,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2005_DRC_FactSheet_EN.pdf?ua=1,Wendy Wang,
Democratic Republic of the Congo,2005,fact sheet,English,45-64,0,both,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2005_DRC_FactSheet_EN.pdf?ua=1,Wendy Wang,
Democratic Republic of the Congo,2005,fact sheet,English,45-64,0,male,NA,NA,31.1,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2005_DRC_FactSheet_EN.pdf?ua=1,Wendy Wang,
Democratic Republic of the Congo,2005,fact sheet,English,45-64,0,female,NA,NA,36.4,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2005_DRC_FactSheet_EN.pdf?ua=1,Wendy Wang,
Democratic Republic of the Congo,2005,fact sheet,English,25-64,1,both,NA,NA,24.1,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2005_DRC_FactSheet_EN.pdf?ua=1,Wendy Wang,
Democratic Republic of the Congo,2005,fact sheet,English,25-64,1,male,NA,NA,21.4,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2005_DRC_FactSheet_EN.pdf?ua=1,Wendy Wang,
Democratic Republic of the Congo,2005,fact sheet,English,25-64,1,female,NA,NA,25.8,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2005_DRC_FactSheet_EN.pdf?ua=1,Wendy Wang,
Eritrea,2004,fact sheet,English,25-64,1,both,0.8,NA,19.4,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2004_Eritrea_FactSheet_EN.pdf?ua=1,Wendy Wang,
Eritrea,2004,fact sheet,English,25-64,1,male,1.4,NA,18.8,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2004_Eritrea_FactSheet_EN.pdf?ua=1,Wendy Wang,
Eritrea,2004,fact sheet,English,25-64,1,female,0.3,NA,19.8,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2004_Eritrea_FactSheet_EN.pdf?ua=1,Wendy Wang,
Eritrea,2004,fact sheet,English,25-44,0,both,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2004_Eritrea_FactSheet_EN.pdf?ua=1,Wendy Wang,
Eritrea,2004,fact sheet,English,25-44,0,male,NA,NA,17.6,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2004_Eritrea_FactSheet_EN.pdf?ua=1,Wendy Wang,
Eritrea,2004,fact sheet,English,25-44,0,female,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2004_Eritrea_FactSheet_EN.pdf?ua=1,Wendy Wang,
Eritrea,2004,fact sheet,English,45-64,0,both,NA,NA,26.1,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2004_Eritrea_FactSheet_EN.pdf?ua=1,Wendy Wang,
Eritrea,2004,fact sheet,English,45-64,0,male,NA,NA,20.1,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2004_Eritrea_FactSheet_EN.pdf?ua=1,Wendy Wang,
Eritrea,2004,fact sheet,English,45-64,0,female,NA,NA,31.8,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2004_Eritrea_FactSheet_EN.pdf?ua=1,Wendy Wang,
Eswatini,2014,country report,English,15-44,0,male,3.9,87.9,8.2,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/Swaziland_2014_STEPS_Report.pdf?ua=1,Wendy Wang,
Eswatini,2014,country report,English,45-69,0,male,2.1,61.2,36.7,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/Swaziland_2014_STEPS_Report.pdf?ua=1,Wendy Wang,
Eswatini,2014,country report,English,15-69,1,male,3.6,83.2,13.2,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/Swaziland_2014_STEPS_Report.pdf?ua=1,Wendy Wang,
Eswatini,2014,country report,English,15-44,0,female,2.5,76.7,20.8,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/Swaziland_2014_STEPS_Report.pdf?ua=1,Wendy Wang,
Eswatini,2014,country report,English,45-59,0,female,0.6,46.3,53.2,100.1,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/Swaziland_2014_STEPS_Report.pdf?ua=1,Wendy Wang,
Eswatini,2014,country report,English,15-69,1,female,2.1,70.8,27.1,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/Swaziland_2014_STEPS_Report.pdf?ua=1,Wendy Wang,
Eswatini,2014,country report,English,15-44,0,both,3.2,82.3,14.6,100.1,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/Swaziland_2014_STEPS_Report.pdf?ua=1,Wendy Wang,
Eswatini,2014,country report,English,45-69,0,both,1.3,53.1,45.6,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/Swaziland_2014_STEPS_Report.pdf?ua=1,Wendy Wang,
Eswatini,2014,country report,English,15-69,1,both,2.8,76.8,20.3,99.9,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/Swaziland_2014_STEPS_Report.pdf?ua=1,Wendy Wang,
Eswatini,2014,fact sheet,English,15-69,1,both,2.8,NA,20.3,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2014_Swaziland_FactSheet.pdf?ua=1,Wendy Wang,
Eswatini,2014,fact sheet,English,15-69,1,male,3.6,NA,13.2,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2014_Swaziland_FactSheet.pdf?ua=1,Wendy Wang,
Eswatini,2014,fact sheet,English,15-69,1,female,2.1,NA,27.1,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2014_Swaziland_FactSheet.pdf?ua=1,Wendy Wang,
